"","ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"26","600519.SH","20201126",1726,1739.99,1725.18,1734.39,1726.88,7.51,0.4349,23228.3,4027749.313
"27","600519.SH","20201125",1761.5,1768.88,1724,1726.88,1763.5,-36.62,-2.0766,28226.32,4910540.741
"28","600519.SH","20201124",1769.99,1782.5,1751.47,1763.5,1790.21,-26.71,-1.492,32465.36,5736960.168
"29","600519.SH","20201123",1771.01,1809.9,1771.01,1790.21,1719.96,70.25,4.0844,66637.24,11926870.595
"30","600519.SH","20201120",1720,1736,1712.65,1719.96,1720.19,-0.23,-0.0134,21874.66,3771894.859
"31","600519.SH","20201119",1684.5,1725,1680.6,1720.19,1693.65,26.54,1.567,27815.76,4767508.753
"32","600519.SH","20201118",1715,1720.53,1683.16,1693.65,1715.8,-22.15,-1.2909,35178.95,5973146.815
"33","600519.SH","20201117",1740,1742.35,1701.07,1715.8,1730.05,-14.25,-0.8237,25224.03,4355288.047
"34","600519.SH","20201116",1711,1730.05,1697.26,1730.05,1705,25.05,1.4692,30613.49,5247897.161
"35","600519.SH","20201113",1724,1728.88,1691,1705,1734.79,-29.79,-1.7172,28155.48,4791276.459
"36","600519.SH","20201112",1730.01,1750,1722.27,1734.79,1731.35,3.44,0.1987,23473.09,4071729.792
"37","600519.SH","20201111",1745,1777.5,1731,1731.35,1745,-13.65,-0.7822,34850.73,6122365.404
"38","600519.SH","20201110",1752.92,1764.48,1736,1745,1742.57,2.43,0.1394,30189.44,5287968.173
"39","600519.SH","20201109",1701.38,1750.68,1700.62,1742.57,1700.62,41.95,2.4667,41469.7,7198679.683
"40","600519.SH","20201106",1730.55,1731.59,1690,1700.62,1721.9,-21.28,-1.2358,23051.53,3932702.367
"41","600519.SH","20201105",1717,1732.48,1712.1,1721.9,1699.58,22.32,1.3133,23524.14,4053043.271
"42","600519.SH","20201104",1700,1704,1685,1699.58,1695,4.58,0.2702,16443.71,2788396.253
"43","600519.SH","20201103",1684.99,1705.9,1675.5,1695,1674.01,20.99,1.2539,23497.49,3976621.208
"44","600519.SH","20201102",1675,1695,1672,1674.01,1670.02,3.99,0.2389,21066.43,3544422.245
"45","600519.SH","20201030",1678,1696,1665,1670.02,1676,-5.98,-0.3568,26055.45,4379602.068
"46","600519.SH","20201029",1654.84,1708,1647,1676,1664.81,11.19,0.6721,39373.76,6633168.613
"47","600519.SH","20201028",1626,1677,1625.08,1664.81,1625,39.81,2.4498,34636.53,5739452.181
"48","600519.SH","20201027",1643,1644,1616.12,1625,1643,-18,-1.0956,43944.4,7156688.307
"49","600519.SH","20201026",1619,1662.92,1600,1643,1715.33,-72.33,-4.2167,66015.29,10821908.227
"50","600519.SH","20201023",1740.78,1747.59,1714,1715.33,1742.5,-27.17,-1.5593,19291.69,3339987.454
"51","600519.SH","20201022",1730,1745,1715.51,1742.5,1733.33,9.17,0.529,22480.87,3897729.793
"52","600519.SH","20201021",1734.1,1742.15,1723,1733.33,1734,-0.67,-0.0386,18901.37,3275357.44
"53","600519.SH","20201020",1699.99,1734.97,1695,1734,1699,35,2.06,27734.93,4787807.536
"54","600519.SH","20201019",1725,1733.98,1691.9,1699,1712,-13,-0.7593,19226.32,3284383.415
"55","600519.SH","20201016",1725,1734.58,1703,1712,1725,-13,-0.7536,17377.38,2991246.892
"56","600519.SH","20201015",1721.13,1735,1721,1725,1729,-4,-0.2313,16204.36,2801250.556
"57","600519.SH","20201014",1740,1746.98,1726,1729,1739,-10,-0.575,20481.39,3554316.589
"58","600519.SH","20201013",1750.62,1750.62,1735,1739,1750.61,-11.61,-0.6632,22943.89,3995560.518
"59","600519.SH","20201012",1700,1750.61,1700,1750.61,1696,54.61,3.2199,43729.04,7597987.786
"60","600519.SH","20201009",1692,1706.42,1688,1696,1668.5,27.5,1.6482,34239.88,5817280.605
"61","600519.SH","20200930",1660,1691.9,1660,1668.5,1652.3,16.2,0.9805,27087.81,4536012.54
"62","600519.SH","20200929",1669.33,1669.4,1652.3,1652.3,1661,-8.7,-0.5238,17430.78,2895081.366
"63","600519.SH","20200928",1635.19,1668.5,1635.19,1661,1635.11,25.89,1.5834,24232.22,4019640.15
"64","600519.SH","20200925",1630,1650,1625,1635.11,1629.32,5.79,0.3554,22582.96,3700843.486
"65","600519.SH","20200924",1635.97,1658.88,1626.8,1629.32,1649.98,-20.66,-1.2521,30050.78,4915392.273
"66","600519.SH","20200923",1635,1666.01,1621.02,1649.98,1665.69,-15.71,-0.9432,35725.52,5878691.069
"67","600519.SH","20200922",1650,1686.98,1650,1665.69,1666.8,-1.11,-0.0666,23265.47,3890070.212
"68","600519.SH","20200921",1692.76,1692.76,1666.66,1666.8,1695,-28.2,-1.6637,22444.07,3756765.108
"69","600519.SH","20200918",1665,1695,1635.01,1695,1670.52,24.48,1.4654,47201.4,7853673.241
"70","600519.SH","20200917",1700,1700,1658,1670.52,1725.1,-54.58,-3.1639,63679.85,10683350.187
"71","600519.SH","20200916",1760,1764.81,1719,1725.1,1760,-34.9,-1.983,22515.98,3916457.762
"72","600519.SH","20200915",1769.99,1769.99,1747.75,1760,1766,-6,-0.3398,20820.87,3654872.009
"73","600519.SH","20200914",1745,1769,1730.58,1766,1733,33,1.9042,31056.01,5448188.995
"74","600519.SH","20200911",1688,1736,1688,1733,1705.8,27.2,1.5946,31088,5339883.408
"75","600519.SH","20200910",1703.74,1720,1700,1705.8,1688,17.8,1.0545,24778.33,4236694.402
"76","600519.SH","20200909",1699.67,1711,1680.04,1688,1711.4,-23.4,-1.3673,25963.55,4401806.095
"77","600519.SH","20200908",1732,1737.8,1677.07,1711.4,1723.5,-12.1,-0.7021,34472.38,5865962.724
"78","600519.SH","20200907",1760,1777.99,1703.97,1723.5,1770,-46.5,-2.6271,31112.02,5446354.619
"79","600519.SH","20200904",1766,1776.99,1746,1770,1793,-23,-1.2828,30857.96,5433479.408
"80","600519.SH","20200903",1795,1812,1779.7,1793,1795,-2,-0.1114,30437.35,5471333.88
"81","600519.SH","20200902",1825,1828,1770,1795,1801.98,-6.98,-0.3874,32009.29,5746351.923
"82","600519.SH","20200901",1792,1802,1775.01,1801.98,1786.5,15.48,0.8665,31639.92,5661594.315
"83","600519.SH","20200831",1770.58,1816,1770.58,1786.5,1757,29.5,1.679,47810.36,8608932.57
"84","600519.SH","20200828",1731,1764,1721.5,1757,1731,26,1.502,42299.62,7389242.302
"85","600519.SH","20200827",1731.99,1733.98,1705,1731,1727,4,0.2316,22635.53,3896759.446
"86","600519.SH","20200826",1734,1745,1715.02,1727,1727,0,0,26215.73,4530374.186
"87","600519.SH","20200825",1704.8,1746.78,1698.63,1727,1696.35,30.65,1.8068,41872.49,7227309.774
"88","600519.SH","20200824",1700,1708,1691.01,1696.35,1676,20.35,1.2142,30933.44,5260286.523
"89","600519.SH","20200821",1673,1698,1671,1676,1664,12,0.7212,25082.41,4217048.42
"90","600519.SH","20200820",1674,1679,1656,1664,1687,-23,-1.3634,22382.33,3727183.935
"91","600519.SH","20200819",1700,1717,1682.99,1687,1705,-18,-1.0557,26914.98,4578143.762
"92","600519.SH","20200818",1697.38,1720,1691,1705,1690,15,0.8876,30422.81,5192751.797
"93","600519.SH","20200817",1674,1704.35,1670,1690,1661,29,1.7459,43572.01,7363610.867
"94","600519.SH","20200814",1639.9,1665.7,1631,1661,1635,26,1.5902,37653.18,6230475.427
"95","600519.SH","20200813",1630,1638.88,1609,1635,1626.95,8.05,0.4948,20541.34,3341652.186
"96","600519.SH","20200812",1633,1641,1605.25,1626.95,1642.51,-15.56,-0.9473,27933.92,4529267.493
"97","600519.SH","20200811",1640,1666.43,1640,1642.51,1633.99,8.52,0.5214,35818.18,5936904.876
"98","600519.SH","20200810",1627.97,1644.96,1608.11,1633.99,1631,2.99,0.1833,23623.54,3857721.122
"99","600519.SH","20200807",1644.77,1649.67,1598.5,1631,1637.96,-6.96,-0.4249,34242.05,5560065.753
"100","600519.SH","20200806",1670,1674.03,1630,1637.96,1668,-30.04,-1.801,32648.78,5372942.645
"101","600519.SH","20200805",1662.09,1673.09,1643.31,1668,1669.99,-1.99,-0.1192,25521.69,4236612.469
"102","600519.SH","20200804",1675,1682.99,1660,1669.99,1668,1.99,0.1193,31940.51,5337185.768
"103","600519.SH","20200803",1686.88,1696.58,1660,1668,1678.18,-10.18,-0.6066,34661.14,5790041.422
"104","600519.SH","20200731",1685,1705,1646,1678.18,1680,-1.82,-0.1083,40684.74,6846747.33
"105","600519.SH","20200730",1671.2,1700.59,1670.5,1680,1672,8,0.4785,38373.04,6486855.475
"106","600519.SH","20200729",1690,1690,1633,1672,1670,2,0.1198,50748.43,8411789.967
"107","600519.SH","20200728",1630,1680,1630,1670,1622.55,47.45,2.9244,54911.52,9133721.867
"108","600519.SH","20200727",1616.01,1629.8,1600,1622.55,1595.3,27.25,1.7081,38788.17,6279664.444
"109","600519.SH","20200724",1654.85,1666,1585,1595.3,1676,-80.7,-4.815,78752.01,12705941.887
"110","600519.SH","20200723",1672,1691,1650,1676,1678.08,-2.08,-0.124,34320.52,5739050.333
"111","600519.SH","20200722",1658,1710,1658,1678.08,1668,10.08,0.6043,39201.21,6637265.372
"112","600519.SH","20200721",1646.64,1702.8,1630.99,1668,1636.96,31.04,1.8962,41969.5,7026353.151
"113","600519.SH","20200720",1652.5,1663.99,1588.88,1636.96,1648.05,-11.09,-0.6729,45280.33,7363822.989
"114","600519.SH","20200717",1620,1672.59,1620,1648.05,1614,34.05,2.1097,65902.06,10863420.089
"115","600519.SH","20200716",1729.91,1729.91,1600,1614,1752.53,-138.53,-7.9046,102242.19,16901373.196
"116","600519.SH","20200715",1744.88,1782.6,1744.71,1752.53,1762,-9.47,-0.5375,40712.94,7176560.649
"117","600519.SH","20200714",1781.99,1782.03,1748.4,1762,1781.99,-19.99,-1.1218,46093.51,8135834.91
"118","600519.SH","20200713",1714.68,1787,1714.68,1781.99,1713.85,68.14,3.9758,60727.16,10679460.274
"119","600519.SH","20200710",1689,1736.6,1688.94,1713.85,1706,7.85,0.4601,37100.44,6352507.468
"120","600519.SH","20200709",1691,1712,1682,1706,1681.34,24.66,1.4667,35033.24,5951732.803
"121","600519.SH","20200708",1680,1719,1660,1681.34,1688,-6.66,-0.3945,53169.98,8963189.092
"122","600519.SH","20200707",1603.09,1744.82,1601,1688,1600,88,5.5,66663.93,11219852.098
"123","600519.SH","20200706",1538,1616,1531.81,1600,1541.79,58.21,3.7755,51821.96,8228068.998
"124","600519.SH","20200703",1550,1552.5,1516.88,1541.79,1544,-2.21,-0.1431,35125.81,5395637.032
"125","600519.SH","20200702",1499,1550.9,1495,1544,1494.27,49.73,3.328,45883.72,7014289.615
"126","600519.SH","20200701",1468,1506.1,1464.02,1494.27,1462.88,31.39,2.1458,38682.49,5759640.251
"127","600519.SH","20200630",1463.12,1468.98,1455.12,1462.88,1463.17,-0.29,-0.0198,22446.14,3281641.199
"128","600519.SH","20200629",1448,1466,1437.01,1463.17,1460.01,3.16,0.2164,28080.61,4064048.236
"129","600519.SH","20200624",1463.6,1465.71,1445,1460.01,1457.48,2.53,0.1736,25138.99,3663537.115
"130","600519.SH","20200623",1435,1482,1433.52,1474.5,1439,35.5,2.467,33934.26,4963194.685
"131","600519.SH","20200622",1435.1,1443.89,1433.2,1439,1439.84,-0.84,-0.0583,23247,3343536.637
"132","600519.SH","20200619",1420,1445.2,1415.1,1439.84,1413,26.84,1.8995,38958.33,5603232.657
"133","600519.SH","20200618",1404.9,1413.2,1400.1,1413,1405,8,0.5694,21010.41,2956800.081
"134","600519.SH","20200617",1411.86,1411.9,1395.02,1405,1403.88,1.12,0.0798,19453.07,2730097.12
"135","600519.SH","20200616",1398.5,1414,1393.13,1403.88,1383,20.88,1.5098,29206.64,4099718.932
"136","600519.SH","20200615",1402,1411.6,1381,1383,1416.37,-33.37,-2.356,34615.41,4819512.189
"137","600519.SH","20200612",1387.17,1416.37,1383.31,1416.37,1400.46,15.91,1.1361,28427.42,3992323.389
"138","600519.SH","20200611",1411.01,1417.99,1396.99,1400.46,1423.66,-23.2,-1.6296,30711.71,4314846.228
"139","600519.SH","20200610",1425,1433.33,1417,1423.66,1416.55,7.11,0.5019,22700.74,3234843.851
"140","600519.SH","20200609",1408,1425,1400.68,1416.55,1406.1,10.45,0.7432,22611.91,3199849.66
"141","600519.SH","20200608",1425,1435,1402.01,1406.1,1425,-18.9,-1.3263,29300.45,4145298.455
"142","600519.SH","20200605",1405.25,1428.88,1401.08,1425,1407.99,17.01,1.2081,18347.06,2597524.609
"143","600519.SH","20200604",1396,1411,1396,1407.99,1399.3,8.69,0.621,18037.41,2534459.742
"144","600519.SH","20200603",1415,1417.5,1395.77,1399.3,1410.71,-11.41,-0.8088,23557.36,3308382.799
"145","600519.SH","20200602",1416.01,1427.9,1406.66,1410.71,1419.5,-8.79,-0.6192,25960.1,3679210.598
"146","600519.SH","20200601",1381,1420.1,1381,1419.5,1366.6,52.9,3.8709,35479.76,4986178.912
"147","600519.SH","20200529",1332.1,1369.98,1332.1,1366.6,1344,22.6,1.6815,30444.35,4144247.222
"148","600519.SH","20200528",1337.97,1346.94,1321.13,1344,1338,6,0.4484,26485.91,3536546.893
"149","600519.SH","20200527",1359,1360,1333,1338,1358,-20,-1.4728,26777.41,3596654.307
"150","600519.SH","20200526",1369.88,1369.95,1355,1358,1362.9,-4.9,-0.3595,22470.19,3056188.321
